GCA_000230675.2_ASM23067v1_genomic_prodigal_proteins.faa	Pseudosynechococcus sudipacificus WH 8016
GCA_000153825.1_ASM15382v1_genomic_prodigal_proteins.faa	Pseudosynechococcus gyrus RS9916
GCA_000153065.1_ASM15306v1_genomic_prodigal_proteins.faa	Pseudosynechococcus equatorialis RS9917
GCA_900473935.1_UW105_genomic_prodigal_proteins.faa	Pseudosynechococcus sp. UW105
GCA_900474295.1_UW140_genomic_prodigal_proteins.faa	Pseudosynechococcus sp. UW140
GCA_001632105.1_ASM163210v1_genomic_prodigal_proteins.faa	Pseudosynechococcus sp. MIT S9504
GCA_001632165.1_ASM163216v1_genomic_prodigal_proteins.faa	Pseudosynechococcus sp. MIT S9508
GCA_001631935.1_ASM163193v1_genomic_prodigal_proteins.faa	Pseudosynechococcus sp. MIT S9509
GCA_002171995.1_ASM217199v1_genomic_prodigal_proteins.faa	Pseudosynechococcus sp. TMED187
GCA_002172935.1_ASM217293v1_genomic_prodigal_proteins.faa	Pseudosynechococcus sp. TMED90
GCA_002685515.1_ASM268551v1_genomic_prodigal_proteins.faa	Pseudosynechococcus sp. CPC100
GCA_002693285.1_ASM269328v1_genomic_prodigal_proteins.faa	Pseudosynechococcus sp. EAC657
GCA_002698505.1_ASM269850v1_genomic_prodigal_proteins.faa	Pseudosynechococcus sp. NAT40
GCA_002729835.1_ASM272983v1_genomic_prodigal_proteins.faa	Pseudosynechococcus sp. NP17
GCA_004332415.1_ASM433241v1_genomic_prodigal_proteins.faa	Pseudosynechococcus sp. BS55D
GCA_004332405.1_ASM433240v1_genomic_prodigal_proteins.faa	Pseudosynechococcus sp. BS56D
GCA_003209005.1_ASM320900v1_genomic_prodigal_proteins.faa	Pseudosynechococcus sp. AG-673-D02
GCA_003209155.1_ASM320915v1_genomic_prodigal_proteins.faa	Pseudosynechococcus sp. AG-670-F22
GCA_003211275.1_ASM321127v1_genomic_prodigal_proteins.faa	Pseudosynechococcus sp. AG-673-A03
GCA_003211205.1_ASM321120v1_genomic_prodigal_proteins.faa	Pseudosynechococcus sp. AG-673-F03
GCA_003210995.1_ASM321099v1_genomic_prodigal_proteins.faa	Pseudosynechococcus sp. AG-676-C06
GCA_003210935.1_ASM321093v1_genomic_prodigal_proteins.faa	Pseudosynechococcus sp. AG-676-E23
GCA_003210555.1_ASM321055v1_genomic_prodigal_proteins.faa	Pseudosynechococcus sp. AG-683-A03
GCA_003208775.1_ASM320877v1_genomic_prodigal_proteins.faa	Pseudosynechococcus sp. AG-686-A03
GCA_003211015.1_ASM321101v1_genomic_prodigal_proteins.faa	Pseudosynechococcus sp. AG-676-A21
GCA_003210815.1_ASM321081v1_genomic_prodigal_proteins.faa	Pseudosynechococcus sp. AG-679-A02
GCA_003210775.1_ASM321077v1_genomic_prodigal_proteins.faa	Pseudosynechococcus sp. AG-679-A04
GCA_003210755.1_ASM321075v1_genomic_prodigal_proteins.faa	Pseudosynechococcus sp. AG-679-C18
GCA_003210705.1_ASM321070v1_genomic_prodigal_proteins.faa	Pseudosynechococcus sp. AG-679-E23
GCA_003210475.1_ASM321047v1_genomic_prodigal_proteins.faa	Pseudosynechococcus sp. AG-683-G11
GCA_003210315.1_ASM321031v1_genomic_prodigal_proteins.faa	Pseudosynechococcus sp. AG-686-F08
GCA_003331785.1_ASM333178v1_genomic_prodigal_proteins.faa	Pseudosynechococcus sp. MED-G68
GCA_004213055.1_ASM421305v1_genomic_prodigal_proteins.faa	Pseudosynechococcus sp. MED-G135
